,id,trigger number,was followed,delay,e,n_date,n_hour,n_day,f_date,f_hour,f_day,group,send_time,viewed_time,age,gender,qual
15,4,3,0.0,0,1,2014-11-10,19,Mon,1970-01-01,0,Thu,Occasional,19:18:01,0,15.0,Male,Degree
16,4,4,0.0,0,1,2014-10-14,18,Tue,1970-01-01,0,Thu,Occasional,18:38:52,0,15.0,Male,Degree
17,4,5,0.0,0,1,2014-11-14,2,Fri,1970-01-01,0,Thu,Occasional,02:03:32,0,15.0,Male,Degree
18,5,1,1.0,5471,1,2014-09-25,14,Thu,2014-09-25,16,Thu,Daily,14:56:01,16:27:00,50.0,Male,Other
19,5,2,0.0,0,1,2014-09-26,11,Fri,1970-01-01,0,Thu,Daily,11:20:01,0,50.0,Male,Other
20,5,3,0.0,0,1,2014-09-27,19,Sat,1970-01-01,0,Thu,Daily,19:03:01,0,50.0,Male,Other
21,5,4,0.0,0,1,2014-09-28,19,Sun,1970-01-01,0,Thu,Daily,19:40:01,0,50.0,Male,Other
22,5,5,0.0,0,1,2014-09-29,19,Mon,1970-01-01,0,Thu,Daily,19:14:24,0,50.0,Male,Other
31,8,1,1.0,4144,1,2014-11-10,19,Mon,2014-11-10,20,Mon,Occasional,19:21:07,20:30:00,35.0,Female,Postgraduate degree
32,8,2,0.0,0,1,2014-10-14,19,Tue,1970-01-01,0,Thu,Occasional,19:01:24,0,35.0,Female,Postgraduate degree
33,8,3,0.0,0,1,2014-10-17,18,Fri,1970-01-01,0,Thu,Occasional,18:30:22,0,35.0,Female,Postgraduate degree
34,8,4,1.0,1218,1,2014-10-20,18,Mon,2014-10-20,18,Mon,Occasional,18:00:14,18:20:00,35.0,Female,Postgraduate degree
35,8,5,0.0,0,1,2014-10-23,20,Thu,1970-01-01,0,Thu,Occasional,20:05:22,0,35.0,Female,Postgraduate degree
36,8,6,0.0,0,1,2014-10-26,18,Sun,1970-01-01,0,Thu,Occasional,18:18:44,0,35.0,Female,Postgraduate degree
37,8,7,0.0,0,1,2014-10-29,19,Wed,1970-01-01,0,Thu,Occasional,19:09:01,0,35.0,Female,Postgraduate degree
38,8,8,0.0,0,1,2014-01-11,19,Sat,1970-01-01,0,Thu,Occasional,19:06:10,0,35.0,Female,Postgraduate degree
39,8,9,1.0,7436,1,2014-04-11,18,Fri,2014-04-11,20,Fri,Occasional,18:53:10,20:57:00,35.0,Female,Postgraduate degree
40,8,10,0.0,0,1,2014-08-11,19,Mon,1970-01-01,0,Thu,Occasional,19:20:46,0,35.0,Female,Postgraduate degree
41,8,11,0.0,0,1,2014-11-11,18,Tue,1970-01-01,0,Thu,Occasional,18:56:07,0,35.0,Female,Postgraduate degree
42,8,12,0.0,0,1,2014-11-14,18,Fri,1970-01-01,0,Thu,Occasional,18:45:04,0,35.0,Female,Postgraduate degree
43,8,13,0.0,0,1,2014-11-17,18,Mon,1970-01-01,0,Thu,Occasional,18:54:28,0,35.0,Female,Postgraduate degree
44,8,14,1.0,722,1,2014-11-20,19,Thu,2014-11-20,19,Thu,Occasional,19:29:23,19:41:00,35.0,Female,Postgraduate degree
45,8,15,0.0,0,1,2014-11-23,20,Sun,1970-01-01,0,Thu,Occasional,20:17:32,0,35.0,Female,Postgraduate degree
46,8,16,0.0,0,1,2014-11-27,1,Thu,1970-01-01,0,Thu,Occasional,01:30:12,0,35.0,Female,Postgraduate degree
47,8,17,1.0,17,1,2014-01-12,0,Sun,2014-01-12,0,Sun,Occasional,00:52:07,00:52:00,35.0,Female,Postgraduate degree
48,8,18,1.0,627,1,2014-04-12,18,Sat,2014-04-12,18,Sat,Occasional,18:48:17,18:58:00,35.0,Female,Postgraduate degree
49,8,19,0.0,0,1,2014-07-12,18,Sat,1970-01-01,0,Thu,Occasional,18:00:45,0,35.0,Female,Postgraduate degree
50,8,20,0.0,0,1,2014-10-12,19,Sun,1970-01-01,0,Thu,Occasional,19:02:31,0,35.0,Female,Postgraduate degree
51,8,21,0.0,0,1,2014-12-13,20,Sat,1970-01-01,0,Thu,Occasional,20:04:03,0,35.0,Female,Postgraduate degree
52,8,22,0.0,0,1,2014-12-16,20,Tue,1970-01-01,0,Thu,Occasional,20:31:58,0,35.0,Female,Postgraduate degree
53,8,23,0.0,0,1,2014-12-19,20,Fri,1970-01-01,0,Thu,Occasional,20:24:08,0,35.0,Female,Postgraduate degree
54,8,24,0.0,0,1,2014-12-22,19,Mon,1970-01-01,0,Thu,Occasional,19:01:21,0,35.0,Female,Postgraduate degree
55,8,25,0.0,0,1,2014-12-25,18,Thu,1970-01-01,0,Thu,Occasional,18:04:15,0,35.0,Female,Postgraduate degree
56,8,26,0.0,0,1,2014-12-28,18,Sun,1970-01-01,0,Thu,Occasional,18:40:42,0,35.0,Female,Postgraduate degree
57,8,27,1.0,1739,1,2014-12-31,17,Wed,2014-12-31,17,Wed,Occasional,17:28:02,17:57:00,35.0,Female,Postgraduate degree
58,9,1,1.0,40708,1,2014-05-11,20,Sun,2014-06-11,7,Wed,Daily,20:38:46,07:57:00,39.0,Male,"Diploma (non degree) e.g. HNC, HND"
59,10,1,1.0,374,1,2014-09-25,19,Thu,2014-09-25,19,Thu,Occasional,19:14:05,19:20:00,33.0,Female,Postgraduate degree
60,10,2,1.0,681,1,2014-09-28,19,Sun,2014-09-28,19,Sun,Occasional,19:31:07,19:42:00,33.0,Female,Postgraduate degree
61,10,3,1.0,1777,1,2014-01-10,18,Fri,2014-01-10,19,Fri,Occasional,18:33:23,19:03:00,33.0,Female,Postgraduate degree
62,10,4,1.0,132,1,2014-04-10,18,Thu,2014-04-10,18,Thu,Occasional,18:49:04,18:51:00,33.0,Female,Postgraduate degree
63,10,5,1.0,4365,1,2014-07-10,20,Thu,2014-07-10,22,Thu,Occasional,20:51:06,22:03:00,33.0,Female,Postgraduate degree
64,10,6,1.0,14596,1,2014-10-10,19,Fri,2014-10-10,23,Fri,Occasional,19:25:18,23:28:00,33.0,Female,Postgraduate degree
65,10,7,1.0,327,1,2014-10-13,19,Mon,2014-10-13,19,Mon,Occasional,19:46:00,19:51:00,33.0,Female,Postgraduate degree
66,10,8,0.0,0,1,2014-10-16,20,Thu,1970-01-01,0,Thu,Occasional,20:47:09,0,33.0,Female,Postgraduate degree
67,10,9,1.0,15883,1,2014-10-19,19,Sun,2014-10-19,23,Sun,Occasional,19:01:53,23:26:00,33.0,Female,Postgraduate degree
68,10,10,0.0,0,1,2014-10-22,20,Wed,1970-01-01,0,Thu,Occasional,20:29:54,0,33.0,Female,Postgraduate degree
69,10,11,0.0,0,1,2014-10-25,18,Sat,1970-01-01,0,Thu,Occasional,18:50:09,0,33.0,Female,Postgraduate degree
70,10,12,1.0,2061,1,2014-10-31,19,Fri,2014-10-31,20,Fri,Occasional,19:59:30,20:33:00,33.0,Female,Postgraduate degree
71,10,13,1.0,2101,1,2014-03-11,20,Tue,2014-03-11,20,Tue,Occasional,20:04:43,20:39:00,33.0,Female,Postgraduate degree
72,10,14,1.0,12891,1,2014-06-11,20,Wed,2014-07-11,0,Fri,Occasional,20:27:57,00:02:00,33.0,Female,Postgraduate degree
73,10,15,1.0,210,1,2014-09-11,20,Thu,2014-09-11,20,Thu,Occasional,20:21:04,20:24:00,33.0,Female,Postgraduate degree
74,10,16,1.0,750,1,2014-12-11,18,Thu,2014-12-11,18,Thu,Occasional,18:06:06,18:18:00,33.0,Female,Postgraduate degree
75,10,17,0.0,0,1,2014-11-15,18,Sat,1970-01-01,0,Thu,Occasional,18:33:06,0,33.0,Female,Postgraduate degree
76,10,18,1.0,6321,1,2014-11-18,20,Tue,2014-11-18,22,Tue,Occasional,20:56:44,22:42:00,33.0,Female,Postgraduate degree
77,10,19,0.0,0,1,2014-11-21,20,Fri,1970-01-01,0,Thu,Occasional,20:00:37,0,33.0,Female,Postgraduate degree
78,10,20,0.0,0,1,2014-11-24,18,Mon,1970-01-01,0,Thu,Occasional,18:11:58,0,33.0,Female,Postgraduate degree
79,10,21,0.0,0,1,2014-11-27,20,Thu,1970-01-01,0,Thu,Occasional,20:42:07,0,33.0,Female,Postgraduate degree
80,10,22,0.0,0,1,2014-11-30,18,Sun,1970-01-01,0,Thu,Occasional,18:57:04,0,33.0,Female,Postgraduate degree
81,10,23,0.0,0,1,2014-03-12,19,Wed,1970-01-01,0,Thu,Occasional,19:11:48,0,33.0,Female,Postgraduate degree
82,10,24,1.0,2602,1,2014-06-12,18,Thu,2014-06-12,18,Thu,Occasional,18:05:06,18:48:00,33.0,Female,Postgraduate degree
83,10,25,1.0,419,1,2014-09-12,18,Fri,2014-09-12,18,Fri,Occasional,18:21:33,18:28:00,33.0,Female,Postgraduate degree
84,10,26,0.0,0,1,2014-12-12,18,Fri,1970-01-01,0,Thu,Occasional,18:29:51,0,33.0,Female,Postgraduate degree
85,10,27,1.0,5494,1,2014-12-15,20,Mon,2014-12-15,21,Mon,Occasional,20:21:41,21:53:00,33.0,Female,Postgraduate degree
86,10,28,1.0,769,1,2014-12-18,20,Thu,2014-12-18,21,Thu,Occasional,20:57:29,21:10:00,33.0,Female,Postgraduate degree
87,10,29,1.0,4964,1,2014-12-21,20,Sun,2014-12-21,21,Sun,Occasional,20:16:33,21:39:00,33.0,Female,Postgraduate degree
88,10,30,0.0,0,1,2014-12-24,19,Wed,1970-01-01,0,Thu,Occasional,19:12:43,0,33.0,Female,Postgraduate degree
89,10,31,0.0,0,1,2014-12-27,18,Sat,1970-01-01,0,Thu,Occasional,18:30:01,0,33.0,Female,Postgraduate degree
90,10,32,1.0,614,1,2014-12-30,20,Tue,2014-12-30,21,Tue,Occasional,20:55:19,21:05:00,33.0,Female,Postgraduate degree
91,10,33,0.0,0,1,2015-02-01,20,Sun,1970-01-01,0,Thu,Occasional,20:22:06,0,33.0,Female,Postgraduate degree
92,10,34,0.0,0,1,2015-05-01,20,Fri,1970-01-01,0,Thu,Occasional,20:42:05,0,33.0,Female,Postgraduate degree
93,10,35,0.0,0,1,2015-08-01,20,Sat,1970-01-01,0,Thu,Occasional,20:47:04,0,33.0,Female,Postgraduate degree
94,10,36,0.0,0,1,2015-11-01,20,Sun,1970-01-01,0,Thu,Occasional,20:37:30,0,33.0,Female,Postgraduate degree
95,10,37,0.0,0,1,2015-01-14,19,Wed,1970-01-01,0,Thu,Occasional,19:50:39,0,33.0,Female,Postgraduate degree
96,10,38,0.0,0,1,2015-01-17,19,Sat,1970-01-01,0,Thu,Occasional,19:38:47,0,33.0,Female,Postgraduate degree
97,10,39,0.0,0,1,2015-01-20,19,Tue,1970-01-01,0,Thu,Occasional,19:18:49,0,33.0,Female,Postgraduate degree
98,10,40,0.0,0,1,2015-01-23,20,Fri,1970-01-01,0,Thu,Occasional,20:20:00,0,33.0,Female,Postgraduate degree
99,10,41,0.0,0,1,2015-01-26,20,Mon,1970-01-01,0,Thu,Occasional,20:02:08,0,33.0,Female,Postgraduate degree
100,10,42,1.0,23,1,2015-01-29,18,Thu,2015-01-29,18,Thu,Occasional,18:26:06,18:26:00,33.0,Female,Postgraduate degree
101,10,43,0.0,0,1,2015-01-02,19,Fri,1970-01-01,0,Thu,Occasional,19:42:08,0,33.0,Female,Postgraduate degree
102,10,44,1.0,508,1,2015-04-02,20,Thu,2015-04-02,20,Thu,Occasional,20:28:39,20:37:00,33.0,Female,Postgraduate degree
103,10,45,1.0,2551,1,2015-07-02,19,Thu,2015-07-02,20,Thu,Occasional,19:48:53,20:31:00,33.0,Female,Postgraduate degree
104,10,46,1.0,5563,1,2015-10-02,19,Fri,2015-10-02,21,Fri,Occasional,19:50:01,21:22:00,33.0,Female,Postgraduate degree
105,10,47,0.0,0,1,2015-02-13,20,Fri,1970-01-01,0,Thu,Occasional,20:21:31,0,33.0,Female,Postgraduate degree
106,11,1,0.0,0,1,2014-09-25,21,Thu,1970-01-01,0,Thu,Daily,21:17:05,0,44.0,Female,Postgraduate degree
107,11,2,0.0,0,1,2014-09-26,21,Fri,1970-01-01,0,Thu,Daily,21:49:10,0,44.0,Female,Postgraduate degree
108,11,3,0.0,0,1,2014-09-27,12,Sat,1970-01-01,0,Thu,Daily,12:47:01,0,44.0,Female,Postgraduate degree
109,11,4,0.0,0,1,2014-09-28,20,Sun,1970-01-01,0,Thu,Daily,20:25:25,0,44.0,Female,Postgraduate degree
110,11,5,0.0,0,1,2014-09-29,19,Mon,1970-01-01,0,Thu,Daily,19:09:07,0,44.0,Female,Postgraduate degree
111,11,6,0.0,0,1,2014-09-30,19,Tue,1970-01-01,0,Thu,Daily,19:12:22,0,44.0,Female,Postgraduate degree
112,11,7,0.0,0,1,2014-01-10,19,Fri,1970-01-01,0,Thu,Daily,19:47:03,0,44.0,Female,Postgraduate degree
113,11,8,0.0,0,1,2014-02-10,18,Mon,1970-01-01,0,Thu,Daily,18:33:27,0,44.0,Female,Postgraduate degree
114,11,9,0.0,0,1,2014-03-10,20,Mon,1970-01-01,0,Thu,Daily,20:26:24,0,44.0,Female,Postgraduate degree
115,11,10,1.0,16252,1,2014-04-10,18,Thu,2014-04-10,23,Thu,Daily,18:39:00,23:09:00,44.0,Female,Postgraduate degree
116,11,11,0.0,0,1,2014-05-10,19,Sat,1970-01-01,0,Thu,Daily,19:07:07,0,44.0,Female,Postgraduate degree
117,11,12,1.0,11,1,2014-06-10,20,Tue,2014-06-10,20,Tue,Daily,20:40:07,20:40:00,44.0,Female,Postgraduate degree
118,11,13,0.0,0,1,2014-07-10,19,Thu,1970-01-01,0,Thu,Daily,19:15:11,0,44.0,Female,Postgraduate degree
119,11,14,0.0,0,1,2014-08-10,18,Sun,1970-01-01,0,Thu,Daily,18:32:47,0,44.0,Female,Postgraduate degree
120,11,15,0.0,0,1,2014-09-10,18,Wed,1970-01-01,0,Thu,Daily,18:38:06,0,44.0,Female,Postgraduate degree
121,11,16,0.0,0,1,2014-10-10,18,Fri,1970-01-01,0,Thu,Daily,18:55:45,0,44.0,Female,Postgraduate degree
122,11,17,0.0,0,1,2014-11-10,18,Mon,1970-01-01,0,Thu,Daily,18:28:20,0,44.0,Female,Postgraduate degree
123,11,18,0.0,0,1,2014-12-10,20,Wed,1970-01-01,0,Thu,Daily,20:39:08,0,44.0,Female,Postgraduate degree
124,11,19,0.0,0,1,2014-10-13,18,Mon,1970-01-01,0,Thu,Daily,18:11:11,0,44.0,Female,Postgraduate degree
125,11,20,0.0,0,1,2014-10-14,18,Tue,1970-01-01,0,Thu,Daily,18:34:02,0,44.0,Female,Postgraduate degree
126,11,21,0.0,0,1,2014-10-15,18,Wed,1970-01-01,0,Thu,Daily,18:32:03,0,44.0,Female,Postgraduate degree
127,11,22,0.0,0,1,2014-10-16,19,Thu,1970-01-01,0,Thu,Daily,19:14:44,0,44.0,Female,Postgraduate degree
128,11,23,0.0,0,1,2014-10-17,18,Fri,1970-01-01,0,Thu,Daily,18:00:41,0,44.0,Female,Postgraduate degree
129,11,24,0.0,0,1,2014-10-18,20,Sat,1970-01-01,0,Thu,Daily,20:33:19,0,44.0,Female,Postgraduate degree
130,11,25,0.0,0,1,2014-10-19,20,Sun,1970-01-01,0,Thu,Daily,20:21:16,0,44.0,Female,Postgraduate degree
131,11,26,0.0,0,1,2014-10-20,19,Mon,1970-01-01,0,Thu,Daily,19:16:59,0,44.0,Female,Postgraduate degree
132,11,27,0.0,0,1,2014-10-21,18,Tue,1970-01-01,0,Thu,Daily,18:55:02,0,44.0,Female,Postgraduate degree
133,11,28,0.0,0,1,2014-10-22,20,Wed,1970-01-01,0,Thu,Daily,20:52:45,0,44.0,Female,Postgraduate degree
134,11,29,0.0,0,1,2014-10-23,18,Thu,1970-01-01,0,Thu,Daily,18:10:57,0,44.0,Female,Postgraduate degree
135,11,30,0.0,0,1,2014-10-24,19,Fri,1970-01-01,0,Thu,Daily,19:03:06,0,44.0,Female,Postgraduate degree
136,11,31,0.0,0,1,2014-10-25,18,Sat,1970-01-01,0,Thu,Daily,18:32:57,0,44.0,Female,Postgraduate degree
137,11,32,0.0,0,1,2014-10-27,20,Mon,1970-01-01,0,Thu,Daily,20:09:45,0,44.0,Female,Postgraduate degree
138,11,33,0.0,0,1,2014-10-28,19,Tue,1970-01-01,0,Thu,Daily,19:09:23,0,44.0,Female,Postgraduate degree
139,11,34,0.0,0,1,2014-10-29,19,Wed,1970-01-01,0,Thu,Daily,19:52:28,0,44.0,Female,Postgraduate degree
140,11,35,0.0,0,1,2014-10-30,20,Thu,1970-01-01,0,Thu,Daily,20:01:01,0,44.0,Female,Postgraduate degree
141,11,36,0.0,0,1,2014-10-31,19,Fri,1970-01-01,0,Thu,Daily,19:29:59,0,44.0,Female,Postgraduate degree
142,11,37,1.0,11757,1,2014-01-11,19,Sat,2014-01-11,22,Sat,Daily,19:25:34,22:41:00,44.0,Female,Postgraduate degree
143,11,38,0.0,0,1,2014-02-11,19,Tue,1970-01-01,0,Thu,Daily,19:08:54,0,44.0,Female,Postgraduate degree
144,11,39,0.0,0,1,2014-03-11,19,Tue,1970-01-01,0,Thu,Daily,19:36:53,0,44.0,Female,Postgraduate degree
145,11,40,0.0,0,1,2014-04-11,18,Fri,1970-01-01,0,Thu,Daily,18:29:15,0,44.0,Female,Postgraduate degree
146,11,41,0.0,0,1,2014-05-11,20,Sun,1970-01-01,0,Thu,Daily,20:02:05,0,44.0,Female,Postgraduate degree
147,11,42,0.0,0,1,2014-06-11,20,Wed,1970-01-01,0,Thu,Daily,20:34:08,0,44.0,Female,Postgraduate degree
148,11,43,0.0,0,1,2014-07-11,18,Fri,1970-01-01,0,Thu,Daily,18:28:06,0,44.0,Female,Postgraduate degree
149,11,44,0.0,0,1,2014-08-11,19,Mon,1970-01-01,0,Thu,Daily,19:54:33,0,44.0,Female,Postgraduate degree
150,11,45,0.0,0,1,2014-10-11,19,Sat,1970-01-01,0,Thu,Daily,19:34:03,0,44.0,Female,Postgraduate degree
151,11,46,0.0,0,1,2014-11-11,19,Tue,1970-01-01,0,Thu,Daily,19:10:17,0,44.0,Female,Postgraduate degree
152,11,47,0.0,0,1,2014-12-11,20,Thu,1970-01-01,0,Thu,Daily,20:10:09,0,44.0,Female,Postgraduate degree
153,11,48,0.0,0,1,2014-11-13,20,Thu,1970-01-01,0,Thu,Daily,20:36:30,0,44.0,Female,Postgraduate degree
154,11,49,0.0,0,1,2014-11-14,19,Fri,1970-01-01,0,Thu,Daily,19:54:09,0,44.0,Female,Postgraduate degree
155,11,50,0.0,0,1,2014-11-15,20,Sat,1970-01-01,0,Thu,Daily,20:20:05,0,44.0,Female,Postgraduate degree
156,11,51,0.0,0,1,2014-11-16,20,Sun,1970-01-01,0,Thu,Daily,20:52:00,0,44.0,Female,Postgraduate degree
157,11,52,0.0,0,1,2014-11-17,19,Mon,1970-01-01,0,Thu,Daily,19:31:59,0,44.0,Female,Postgraduate degree
158,11,53,0.0,0,1,2014-11-18,20,Tue,1970-01-01,0,Thu,Daily,20:02:33,0,44.0,Female,Postgraduate degree
159,11,54,0.0,0,1,2014-11-19,19,Wed,1970-01-01,0,Thu,Daily,19:44:22,0,44.0,Female,Postgraduate degree
160,11,55,0.0,0,1,2014-11-20,19,Thu,1970-01-01,0,Thu,Daily,19:51:03,0,44.0,Female,Postgraduate degree
161,11,56,0.0,0,1,2014-11-21,19,Fri,1970-01-01,0,Thu,Daily,19:22:14,0,44.0,Female,Postgraduate degree
162,11,57,0.0,0,1,2014-11-22,19,Sat,1970-01-01,0,Thu,Daily,19:27:01,0,44.0,Female,Postgraduate degree
163,11,58,0.0,0,1,2014-11-23,20,Sun,1970-01-01,0,Thu,Daily,20:29:02,0,44.0,Female,Postgraduate degree
164,11,59,0.0,0,1,2014-11-24,18,Mon,1970-01-01,0,Thu,Daily,18:54:06,0,44.0,Female,Postgraduate degree
165,11,60,0.0,0,1,2014-11-25,20,Tue,1970-01-01,0,Thu,Daily,20:10:43,0,44.0,Female,Postgraduate degree
166,11,61,0.0,0,1,2014-11-26,18,Wed,1970-01-01,0,Thu,Daily,18:09:23,0,44.0,Female,Postgraduate degree
167,11,62,0.0,0,1,2014-11-27,18,Thu,1970-01-01,0,Thu,Daily,18:56:36,0,44.0,Female,Postgraduate degree
168,11,63,0.0,0,1,2014-11-28,19,Fri,1970-01-01,0,Thu,Daily,19:38:57,0,44.0,Female,Postgraduate degree
169,11,64,0.0,0,1,2014-11-29,20,Sat,1970-01-01,0,Thu,Daily,20:08:05,0,44.0,Female,Postgraduate degree
170,11,65,0.0,0,1,2014-11-30,20,Sun,1970-01-01,0,Thu,Daily,20:47:56,0,44.0,Female,Postgraduate degree
171,11,66,0.0,0,1,2014-01-12,20,Sun,1970-01-01,0,Thu,Daily,20:55:11,0,44.0,Female,Postgraduate degree
172,11,67,0.0,0,1,2014-02-12,18,Wed,1970-01-01,0,Thu,Daily,18:07:13,0,44.0,Female,Postgraduate degree
173,11,68,1.0,6599,1,2014-03-12,19,Wed,2014-03-12,21,Wed,Daily,19:11:08,21:01:00,44.0,Female,Postgraduate degree
174,11,69,0.0,0,1,2014-04-12,18,Sat,1970-01-01,0,Thu,Daily,18:28:12,0,44.0,Female,Postgraduate degree
175,11,70,0.0,0,1,2014-05-12,20,Mon,1970-01-01,0,Thu,Daily,20:50:20,0,44.0,Female,Postgraduate degree
176,11,71,0.0,0,1,2014-06-12,19,Thu,1970-01-01,0,Thu,Daily,19:38:50,0,44.0,Female,Postgraduate degree
177,11,72,0.0,0,1,2014-07-12,18,Sat,1970-01-01,0,Thu,Daily,18:48:52,0,44.0,Female,Postgraduate degree
178,11,73,0.0,0,1,2014-08-12,19,Tue,1970-01-01,0,Thu,Daily,19:34:24,0,44.0,Female,Postgraduate degree
179,11,74,0.0,0,1,2014-09-12,18,Fri,1970-01-01,0,Thu,Daily,18:46:52,0,44.0,Female,Postgraduate degree
180,11,75,0.0,0,1,2014-10-12,20,Sun,1970-01-01,0,Thu,Daily,20:01:13,0,44.0,Female,Postgraduate degree
181,11,76,0.0,0,1,2014-11-12,19,Wed,1970-01-01,0,Thu,Daily,19:21:09,0,44.0,Female,Postgraduate degree
182,11,77,0.0,0,1,2014-12-12,20,Fri,1970-01-01,0,Thu,Daily,20:01:00,0,44.0,Female,Postgraduate degree
183,11,78,0.0,0,1,2014-12-13,20,Sat,1970-01-01,0,Thu,Daily,20:46:52,0,44.0,Female,Postgraduate degree
184,11,79,0.0,0,1,2014-12-14,20,Sun,1970-01-01,0,Thu,Daily,20:58:47,0,44.0,Female,Postgraduate degree
185,11,80,0.0,0,1,2014-12-15,20,Mon,1970-01-01,0,Thu,Daily,20:25:39,0,44.0,Female,Postgraduate degree
186,11,81,0.0,0,1,2014-12-16,19,Tue,1970-01-01,0,Thu,Daily,19:56:35,0,44.0,Female,Postgraduate degree
187,11,82,0.0,0,1,2014-12-17,18,Wed,1970-01-01,0,Thu,Daily,18:50:21,0,44.0,Female,Postgraduate degree
188,11,83,0.0,0,1,2014-12-18,18,Thu,1970-01-01,0,Thu,Daily,18:47:21,0,44.0,Female,Postgraduate degree
189,11,84,0.0,0,1,2014-12-19,19,Fri,1970-01-01,0,Thu,Daily,19:22:11,0,44.0,Female,Postgraduate degree
190,11,85,0.0,0,1,2014-12-20,20,Sat,1970-01-01,0,Thu,Daily,20:30:02,0,44.0,Female,Postgraduate degree
191,11,86,0.0,0,1,2014-12-21,19,Sun,1970-01-01,0,Thu,Daily,19:18:08,0,44.0,Female,Postgraduate degree
192,11,87,0.0,0,1,2014-12-22,19,Mon,1970-01-01,0,Thu,Daily,19:08:07,0,44.0,Female,Postgraduate degree
193,11,88,0.0,0,1,2014-12-23,19,Tue,1970-01-01,0,Thu,Daily,19:05:32,0,44.0,Female,Postgraduate degree
194,11,89,0.0,0,1,2014-12-24,18,Wed,1970-01-01,0,Thu,Daily,18:50:46,0,44.0,Female,Postgraduate degree
195,11,90,0.0,0,1,2014-12-25,20,Thu,1970-01-01,0,Thu,Daily,20:50:20,0,44.0,Female,Postgraduate degree
196,11,91,0.0,0,1,2014-12-26,19,Fri,1970-01-01,0,Thu,Daily,19:05:15,0,44.0,Female,Postgraduate degree
197,11,92,0.0,0,1,2014-12-27,20,Sat,1970-01-01,0,Thu,Daily,20:47:27,0,44.0,Female,Postgraduate degree
198,11,93,0.0,0,1,2014-12-28,20,Sun,1970-01-01,0,Thu,Daily,20:55:46,0,44.0,Female,Postgraduate degree
199,11,94,0.0,0,1,2014-12-29,18,Mon,1970-01-01,0,Thu,Daily,18:38:19,0,44.0,Female,Postgraduate degree
200,11,95,0.0,0,1,2014-12-30,18,Tue,1970-01-01,0,Thu,Daily,18:17:45,0,44.0,Female,Postgraduate degree
201,11,96,0.0,0,1,2014-12-31,19,Wed,1970-01-01,0,Thu,Daily,19:39:33,0,44.0,Female,Postgraduate degree
202,11,97,0.0,0,1,2015-01-01,19,Thu,1970-01-01,0,Thu,Daily,19:12:16,0,44.0,Female,Postgraduate degree
203,11,98,0.0,0,1,2015-02-01,20,Sun,1970-01-01,0,Thu,Daily,20:36:48,0,44.0,Female,Postgraduate degree
204,11,99,0.0,0,1,2015-03-01,19,Sun,1970-01-01,0,Thu,Daily,19:44:59,0,44.0,Female,Postgraduate degree
205,11,100,0.0,0,1,2015-04-01,19,Wed,1970-01-01,0,Thu,Daily,19:17:08,0,44.0,Female,Postgraduate degree
206,11,101,0.0,0,1,2015-05-01,19,Fri,1970-01-01,0,Thu,Daily,19:54:20,0,44.0,Female,Postgraduate degree
