id,activity id,page,activity type,status,time,status,time,seconds on page,session number,time since last log
3,BreatheRate,Rate 3 Minute Breathing Space,survey,start,08-10-14 23:02:59.245,complete,08-10-14 23:03:04.849,5,3,0.05
3,ToolUnlockAlert,Tool Unlocked,info,start,08-10-14 23:03:05.116,,,0,3,0.27
3,ToolUnlockAlert,Tool Unlocked,info,start,08-10-14 23:03:05.156,complete,08-10-14 23:03:24.799,19,3,0.04
3,KindAbout,Self Kindness - Desciption,info,start,08-10-14 23:03:34.995,,,0,3,10.20
3,KindAbout,Self Kindness - Desciption,info,start,08-10-14 23:03:35.178,back,08-10-14 23:03:39.122,4,3,0.18
3,MonitorAbout,My Daily Reactions - Desciption,info,start,08-10-14 23:03:40.848,,,0,3,1.73
3,MonitorAbout,My Daily Reactions - Desciption,info,start,08-10-14 23:03:41.057,back,09-10-14 00:20:01.423,4580,4,0.21
3,breathe msg 1 label,breathe_msg_1_label,info,start,14-10-14 19:57:16.358,,,0,5,502634.94
3,breathe msg 2 label,breathe_msg_2_label,info,start,14-10-14 19:57:16.606,complete,14-10-14 20:01:24.035,248,6,0.25
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,14-10-14 20:01:24.598,,,0,6,0.56
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,14-10-14 20:01:24.816,complete,14-10-14 20:01:42.871,18,6,0.22
3,BreatheTry,3 Minute Breathing Space - Try it out,info,start,14-10-14 20:01:42.917,complete,14-10-14 20:01:57.674,15,6,0.05
3,BreatheRate,Rate 3 Minute Breathing Space,survey,start,14-10-14 20:01:57.716,complete,14-10-14 20:02:04.151,7,6,0.04
3,ToolUnlockAlert,Tool Unlocked,info,start,14-10-14 20:02:04.447,,,0,6,0.30
3,ToolUnlockAlert,Tool Unlocked,info,start,14-10-14 20:02:04.485,complete,14-10-14 20:02:19.892,15,6,0.04
3,MonitorSequence,My Daily Reactions,sequence,start,17-10-14 00:08:30.746,,,0,7,187570.85
3,MonitorAbout,My Daily Reactions - Desciption,info,start,17-10-14 00:08:38.451,,,0,7,7.70
3,MonitorAbout,My Daily Reactions - Desciption,info,start,17-10-14 00:08:38.744,complete,17-10-14 00:08:53.059,15,7,0.29
3,MonitorReactions,My Daily Reactions - Your Reactions,survey,start,17-10-14 00:08:53.115,complete,17-10-14 00:12:14.282,201,8,0.06
3,MonitorRate,Rate My Daily Reactions,survey,start,17-10-14 00:12:14.335,complete,17-10-14 00:12:27.078,13,8,0.05
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:12:27.374,,,0,8,0.30
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:12:27.424,complete,17-10-14 00:12:29.924,2,8,0.05
3,CWOAbout,About Connect With Others,info,start,17-10-14 00:12:34.996,,,0,8,5.07
3,CWOAbout,About Connect With Others,info,start,17-10-14 00:12:35.264,complete,17-10-14 00:12:37.876,2,8,0.27
3,CWOPlanner,Your Plans,planner,start,17-10-14 00:12:38.004,complete,17-10-14 00:13:47.828,69,8,0.13
3,CWOKeepTrack,Connect With Others Keep track,info,start,17-10-14 00:13:47.886,complete,17-10-14 00:14:03.708,16,8,0.06
3,CWORate,Connect With Others Rate,survey,start,17-10-14 00:14:03.776,complete,17-10-14 00:14:08.520,5,8,0.07
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:14:08.804,,,0,8,0.28
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:14:08.853,complete,17-10-14 00:14:10.164,2,8,0.05
3,SleepAbout,About Sleep Well,info,start,17-10-14 00:14:14.674,,,0,8,4.51
3,SleepAbout,About Sleep Well,info,start,17-10-14 00:14:14.933,complete,17-10-14 00:14:22.667,8,8,0.26
3,SleepPlanner,Sleep Well Plans,planner,start,17-10-14 00:14:22.784,complete,17-10-14 00:15:25.393,63,8,0.12
3,SleepKeepTrack,Sleep Well Keep track,info,start,17-10-14 00:15:25.480,complete,17-10-14 00:15:33.595,8,8,0.09
3,SleepRate,Sleep Well Rate,survey,start,17-10-14 00:15:33.658,complete,17-10-14 00:15:36.477,3,8,0.06
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:15:36.783,,,0,8,0.31
3,ToolUnlockAlert,Tool Unlocked,info,start,17-10-14 00:15:36.833,complete,17-10-14 00:15:38.989,2,8,0.05
3,breathe msg 1 label,breathe_msg_1_label,info,start,17-10-14 21:57:34.202,,,0,9,78115.21
3,breathe msg 3 label,breathe_msg_3_label,info,start,17-10-14 21:57:34.468,complete,17-10-14 21:57:37.380,3,9,0.27
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-10-14 21:57:37.849,,,0,9,0.47
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-10-14 21:57:38.038,complete,17-10-14 21:57:54.394,16,9,0.19
3,BreatheTry,3 Minute Breathing Space - Try it out,info,start,17-10-14 21:57:54.439,back,17-10-14 21:58:01.362,7,9,0.04
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-10-14 21:58:01.399,back,17-10-14 21:58:02.282,1,9,0.04
3,breathe msg 1 label,breathe_msg_1_label,info,start,01-11-14 22:24:53.383,,,0,10,1301211.10
3,breathe msg 4 label,breathe_msg_4_label,info,start,01-11-14 22:24:53.739,complete,01-11-14 22:25:03.102,10,10,0.36
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,01-11-14 22:25:03.578,,,0,10,0.48
3,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,01-11-14 22:25:03.769,back,01-11-14 22:25:13.522,10,10,0.19
4,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,04-09-14 10:52:06.952,,,0,1,0.00
4,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,04-09-14 10:52:07.275,complete,04-09-14 10:52:41.735,34,1,0.32
4,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,04-09-14 10:52:41.802,complete,04-09-14 10:53:20.724,39,1,0.07
4,About,About,info,start,04-09-14 10:53:23.784,,,0,1,3.06
4,About,About,info,start,04-09-14 10:53:31.912,complete,04-09-14 10:55:41.403,130,1,8.13
4,CWOSequence,Connect With Others,sequence,start,04-09-14 10:55:42.576,,,0,1,1.17
4,CWOAbout,About Connect With Others,info,start,04-09-14 10:55:44.208,,,0,1,1.63
4,CWOAbout,About Connect With Others,info,start,04-09-14 10:55:44.479,complete,04-09-14 10:55:51.770,7,1,0.27
4,CWOPlanner,Your Plans,planner,start,04-09-14 10:55:51.872,back,04-09-14 10:55:55.889,4,1,0.10
4,CWOAbout,About Connect With Others,info,start,04-09-14 10:55:56.008,back,04-09-14 10:56:06.079,10,1,0.12
4,WalkAbout,Walking with awareness - Desciption,info,start,04-09-14 10:56:25.781,,,0,1,19.70
4,WalkAbout,Walking with awareness - Desciption,info,start,04-09-14 10:56:26.032,complete,04-09-14 10:56:31.027,5,1,0.25
4,WalkTry,Walking with awareness - Try it out,info,start,04-09-14 10:56:31.221,complete,04-09-14 10:56:54.236,23,1,0.19
4,WalkRate,Rate walking with awareness,survey,start,04-09-14 10:56:54.464,back,04-09-14 10:56:58.283,4,1,0.23
4,WalkTry,Walking with awareness - Try it out,info,start,04-09-14 10:56:58.485,back,04-09-14 12:10:04.674,4386,2,0.20
4,WalkAbout,Walking with awareness - Desciption,info,start,04-09-14 12:10:04.846,back,04-09-14 12:10:06.650,2,2,0.17
4,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,04-09-14 12:10:08.565,,,0,2,1.91
4,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,04-09-14 12:10:09.019,complete,04-09-14 12:10:19.980,10,2,0.45
4,bodyscan_unlock_FromNotif,bodyscan_unlock_label,sequence,start,04-09-14 12:10:20.034,,,0,2,0.05
4,bodyscan unlock msg 1 label,bodyscan_unlock_msg_1_label,info,start,08-10-14 19:49:17.871,,,0,3,2965137.84
4,bodyscan unlock msg 1 label,bodyscan_unlock_msg_1_label,info,start,08-10-14 19:49:18.166,back,08-10-14 19:49:36.008,18,3,0.29
4,BreatheSequence,3 Minute Breathing Space,sequence,start,08-10-14 19:49:59.215,,,0,3,23.21
4,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,08-10-14 19:50:03.651,,,0,3,4.44
4,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,08-10-14 19:50:03.916,back,08-10-14 19:50:05.671,2,3,0.26
5,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,17-09-14 11:40:51.389,,,0,1,0.00
5,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,17-09-14 11:40:51.516,complete,17-09-14 11:41:46.457,55,1,0.13
5,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,17-09-14 11:41:46.499,complete,17-09-14 11:43:32.297,106,1,0.04
5,Settings,Settings,settings,start,17-09-14 11:43:35.891,,,0,1,3.59
5,About,About,info,start,17-09-14 11:43:43.972,,,0,1,8.08
5,About,About,info,start,17-09-14 11:43:53.127,complete,17-09-14 11:43:56.476,3,1,9.16
5,BreatheSequence,3 Minute Breathing Space,sequence,start,17-09-14 11:43:57.813,,,0,1,1.34
5,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-09-14 11:44:02.944,,,0,1,5.13
5,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-09-14 11:44:03.119,complete,17-09-14 11:44:16.938,13,1,0.17
5,BreatheTry,3 Minute Breathing Space - Try it out,info,start,17-09-14 11:44:16.967,complete,17-09-14 11:45:00.365,44,1,0.03
5,BreatheRate,Rate 3 Minute Breathing Space,survey,start,17-09-14 11:45:00.401,complete,17-09-14 11:45:08.769,8,1,0.04
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 11:45:08.971,,,0,1,0.20
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 11:45:08.993,complete,17-09-14 11:45:11.595,3,1,0.02
5,BreatheSequence,3 Minute Breathing Space,sequence,start,17-09-14 13:09:20.496,,,0,2,5048.90
5,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-09-14 13:09:27.138,,,0,2,6.64
5,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,17-09-14 13:09:27.279,complete,17-09-14 13:09:40.050,13,2,0.14
5,BreatheTry,3 Minute Breathing Space - Try it out,info,start,17-09-14 13:09:40.077,complete,17-09-14 13:10:40.241,60,2,0.03
5,BreatheRate,Rate 3 Minute Breathing Space,survey,start,17-09-14 13:10:40.275,complete,17-09-14 13:12:43.822,123,2,0.03
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 13:12:43.985,,,0,2,0.16
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 13:12:44.007,complete,17-09-14 13:12:51.296,7,2,0.02
5,PositiveSequence,Positive Thinking,sequence,start,17-09-14 14:30:48.883,,,0,3,4677.59
5,PositiveAbout,About Positive Thinking,info,start,17-09-14 14:30:54.600,,,0,3,5.72
5,PositiveAbout,About Positive Thinking,info,start,17-09-14 14:30:54.741,complete,17-09-14 14:31:20.081,26,3,0.14
5,PositivePlanner,Your Positive Thoughts,planner,start,17-09-14 14:31:20.156,complete,17-09-14 14:32:16.286,56,3,0.07
5,PositiveKeepTrack,Positive Thinking Keep track,info,start,17-09-14 14:32:16.329,complete,17-09-14 14:32:25.413,9,3,0.04
5,PositiveRate,Positive Thinking Rate,survey,start,17-09-14 14:32:25.467,complete,17-09-14 14:32:29.438,4,3,0.05
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 14:32:29.636,,,0,3,0.20
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 14:32:29.657,complete,17-09-14 14:32:37.049,8,3,0.02
5,SleepAbout,About Sleep Well,info,start,17-09-14 14:32:49.676,,,0,3,12.63
5,SleepAbout,About Sleep Well,info,start,17-09-14 14:32:49.867,complete,17-09-14 14:33:09.353,20,3,0.19
5,SleepPlanner,Sleep Well Plans,planner,start,17-09-14 14:33:09.433,complete,17-09-14 14:34:15.631,66,3,0.08
5,SleepKeepTrack,Sleep Well Keep track,info,start,17-09-14 14:34:15.689,complete,17-09-14 14:34:19.320,4,3,0.06
5,SleepRate,Sleep Well Rate,survey,start,17-09-14 14:34:19.358,complete,17-09-14 14:34:37.653,18,3,0.04
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 14:34:37.881,,,0,3,0.23
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 14:34:37.906,complete,17-09-14 14:34:42.463,5,3,0.02
5,KindAbout,Self Kindness - Desciption,info,start,17-09-14 14:34:51.840,,,0,3,9.38
5,Settings,Settings,settings,start,17-09-14 14:34:52.017,,,0,3,0.18
5,ToolsMenu,Tools,menu,start,17-09-14 18:10:56.642,,,0,4,12964.63
5,KindSequence,Self Kindness,sequence,start,17-09-14 18:11:20.619,,,0,4,23.98
5,KindAbout,Self Kindness - Desciption,info,start,17-09-14 18:11:24.348,,,0,4,3.73
5,KindAbout,Self Kindness - Desciption,info,start,17-09-14 18:11:24.522,complete,17-09-14 18:11:47.921,23,4,0.17
5,KindTry1,Self Kindness - Try it out,info,start,17-09-14 18:11:47.978,complete,17-09-14 18:11:50.526,3,4,0.06
5,KindTry2,Self Kindness - Try it out,info,start,17-09-14 18:11:50.570,complete,17-09-14 18:14:00.968,130,4,0.04
5,KindRate,Rate Self Kindness,survey,start,17-09-14 18:14:01.020,complete,17-09-14 18:14:11.304,10,4,0.05
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 18:14:11.539,,,0,4,0.24
5,ToolUnlockAlert,Tool Unlocked,info,start,17-09-14 18:14:11.566,complete,17-09-14 18:14:16.482,5,4,0.03
5,CWOAbout,About Connect With Others,info,start,17-09-14 18:14:25.030,,,0,4,8.55
5,connect_FromNotif,connect_label,sequence,start,17-09-14 18:14:25.178,,,0,4,0.15
5,connect msg 1 label,connect_msg_1_label,info,start,25-09-14 16:27:12.505,,,0,5,684767.33
5,connect msg 1 label,connect_msg_1_label,info,start,25-09-14 16:27:12.668,complete,25-09-14 16:27:44.748,32,5,0.16
5,CWOAbout,About Connect With Others,info,start,25-09-14 16:27:45.124,,,0,5,0.38
5,CWOAbout,About Connect With Others,info,start,25-09-14 16:27:45.273,complete,25-09-14 16:27:56.925,11,5,0.15
5,CWOPlanner,Your Plans,planner,start,25-09-14 16:27:57.013,complete,25-09-14 16:29:42.424,105,5,0.09
5,CWOKeepTrack,Connect With Others Keep track,info,start,25-09-14 16:29:42.460,complete,25-09-14 16:29:44.840,2,5,0.04
5,CWORate,Connect With Others Rate,survey,start,25-09-14 16:29:44.878,complete,25-09-14 16:29:49.165,5,5,0.04
5,ToolUnlockAlert,Tool Unlocked,info,start,25-09-14 16:29:49.402,,,0,5,0.24
5,ToolUnlockAlert,Tool Unlocked,info,start,25-09-14 16:29:49.424,complete,25-09-14 16:29:51.799,2,5,0.02
6,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,09-09-14 21:33:49.696,,,0,1,0.00
6,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,09-09-14 21:33:50.014,complete,09-09-14 21:34:16.343,26,1,0.32
6,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,09-09-14 21:34:16.402,complete,09-09-14 21:35:07.048,51,1,0.06
6,ToolsMenu,Tools,menu,start,09-09-14 21:35:11.404,,,0,1,4.36
6,CWOSequence,Connect With Others,sequence,start,09-09-14 21:35:14.012,,,0,1,2.61
6,CWOAbout,About Connect With Others,info,start,09-09-14 21:35:30.146,,,0,1,16.13
6,CWOAbout,About Connect With Others,info,start,09-09-14 21:35:30.551,complete,09-09-14 21:35:43.272,13,1,0.41
6,CWOPlanner,Your Plans,planner,start,09-09-14 21:35:43.375,back,09-09-14 21:35:53.474,10,1,0.10
6,CWOAbout,About Connect With Others,info,start,09-09-14 21:35:53.581,back,09-09-14 21:35:54.665,1,1,0.11
6,CWOAbout,About Connect With Others,info,start,09-09-14 22:42:14.829,,,0,2,3980.16
6,CWOAbout,About Connect With Others,info,start,09-09-14 22:42:15.170,complete,09-09-14 22:42:41.910,26,2,0.34
6,CWOPlanner,Your Plans,planner,start,09-09-14 22:42:42.000,complete,09-09-14 22:43:10.116,28,2,0.09
6,CWOKeepTrack,Connect With Others Keep track,info,start,09-09-14 22:43:10.208,complete,09-09-14 22:43:16.488,6,2,0.09
6,CWORate,Connect With Others Rate,survey,start,09-09-14 22:43:16.540,complete,09-09-14 22:43:21.317,5,2,0.05
6,ToolUnlockAlert,Tool Unlocked,info,start,09-09-14 22:43:21.659,,,0,2,0.34
6,ToolUnlockAlert,Tool Unlocked,info,start,09-09-14 22:43:21.693,complete,09-09-14 22:43:24.455,3,2,0.03
7,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,03-09-14 15:09:51.602,,,0,1,0.00
7,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,03-09-14 15:09:51.814,complete,03-09-14 15:09:57.806,6,1,0.21
7,refToBase,Begin Intervention,info,start,03-09-14 15:09:57.855,,,0,1,0.05
7,Healthy Mind: Baseline,Healthy Mind: Baseline,sequence,start,04-09-14 18:53:24.090,,,0,2,99806.23
7,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,04-09-14 18:53:24.239,,,0,2,0.15
7,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,04-09-14 18:53:24.402,complete,04-09-14 18:53:30.507,6,2,0.16
7,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,04-09-14 18:53:30.546,complete,04-09-14 18:54:03.745,33,2,0.04
7,BreatheSequence,3 Minute Breathing Space,sequence,start,04-09-14 18:54:06.869,,,0,2,3.12
7,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,04-09-14 18:54:10.960,,,0,2,4.09
7,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,04-09-14 18:54:11.102,complete,04-09-14 18:54:16.601,5,2,0.14
7,BreatheTry,3 Minute Breathing Space - Try it out,info,start,04-09-14 18:54:16.638,complete,04-09-14 18:54:20.246,4,2,0.04
7,BreatheRate,Rate 3 Minute Breathing Space,survey,start,04-09-14 18:54:20.291,back,04-09-14 18:54:24.019,4,2,0.04
7,BreatheTry,3 Minute Breathing Space - Try it out,info,start,04-09-14 18:54:24.058,back,04-09-14 18:54:33.108,9,2,0.04
7,bodyscan_unlock_FromNotif,bodyscan_unlock_label,sequence,start,04-09-14 18:54:33.134,,,0,2,0.03
7,bodyscan unlock msg 1 label,bodyscan_unlock_msg_1_label,info,start,25-09-14 20:54:34.544,,,0,3,1821601.41
7,bodyscan unlock msg 1 label,bodyscan_unlock_msg_1_label,info,start,25-09-14 20:54:34.686,complete,25-09-14 20:54:39.896,5,3,0.14
7,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,25-09-14 20:54:39.953,,,0,3,0.06
7,BreatheAbout,3 Minute Breathing Space - Desciption,info,start,25-09-14 20:54:40.083,complete,25-09-14 20:54:42.103,2,3,0.13
8,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,10-10-14 17:57:37.859,,,0,1,0.00
8,Healthy Mind: Basline Consent,Healthy Mind: Basline Consent,info,start,10-10-14 17:57:38.056,complete,10-10-14 17:57:54.355,16,1,0.20
8,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,10-10-14 17:57:54.930,complete,10-10-14 17:58:58.805,64,1,0.58
8,RandomisationFailed,Randomisation Failed,info,start,10-10-14 17:59:03.855,back,10-10-14 17:59:07.189,4,1,5.05
8,baselineSurvey,Healthy Mind: Basline Questionnaire,survey,start,10-10-14 17:59:07.222,complete,10-10-14 22:54:00.173,17693,2,0.03
8,WalkSequence,Walking With Awareness,sequence,start,10-10-14 22:54:05.115,,,0,2,4.94
8,WalkAbout,Walking with awareness - Desciption,info,start,10-10-14 22:54:11.419,,,0,2,6.30
8,WalkAbout,Walking with awareness - Desciption,info,start,10-10-14 22:54:11.652,complete,10-10-14 22:54:53.660,42,2,0.23
